FCSFileNames,Sample,Experiment,Tissue,Mouse Number,For_Vlookup,UniqueMouseID,Treatment,Timepoint,Sex,Hh Dose,NTHi Dose,NTHi MET CFUml,Log10(CFUml),Developed OM
EXP2_Nasal Tissue_Mouse 5.fcs,CD45_EXP2_Nasal Tissue_Mouse 5.fcs,2,Nasal Tissue,5,2_5,11,Pam1ug,24,M,NA,NA,NA,NA,NA
EXP2_Nasal Tissue_Mouse 6.fcs,CD45_EXP2_Nasal Tissue_Mouse 6.fcs,2,Nasal Tissue,6,2_6,12,Pam1ug,24,F,NA,NA,NA,NA,NA
EXP2_Spleen_Mouse 1.fcs,CD45_EXP2_Spleen_Mouse 1.fcs,2,Spleen,1,2_1,7,Hh,24,M,1.83E+07,NA,NA,NA,NA
EXP2_Spleen_Mouse 2.fcs,CD45_EXP2_Spleen_Mouse 2.fcs,2,Spleen,2,2_2,8,Hh,24,M,1.83E+07,NA,NA,NA,NA
EXP2_Spleen_Mouse 3.fcs,CD45_EXP2_Spleen_Mouse 3.fcs,2,Spleen,3,2_3,9,Hh,24,F,1.83E+07,NA,NA,NA,NA
EXP2_Spleen_Mouse 4.fcs,CD45_EXP2_Spleen_Mouse 4.fcs,2,Spleen,4,2_4,10,Pam1ug,24,M,NA,NA,NA,NA,NA
EXP2_Spleen_Mouse 5.fcs,CD45_EXP2_Spleen_Mouse 5.fcs,2,Spleen,5,2_5,11,Pam1ug,24,M,NA,NA,NA,NA,NA
EXP2_Spleen_Mouse 6.fcs,CD45_EXP2_Spleen_Mouse 6.fcs,2,Spleen,6,2_6,12,Pam1ug,24,F,NA,NA,NA,NA,NA
EXP3_Lung_Mouse 1.fcs,CD45_EXP3_Lung_Mouse 1.fcs,3,Lung,1,3_1,13,Saline,6,M,NA,NA,NA,NA,NA
EXP3_Lung_Mouse 2.fcs,CD45_EXP3_Lung_Mouse 2.fcs,3,Lung,2,3_2,14,Saline,6,M,NA,NA,NA,NA,NA
EXP3_Lung_Mouse 3.fcs,CD45_EXP3_Lung_Mouse 3.fcs,3,Lung,3,3_3,15,Hh,6,M,7.17E+07,NA,NA,NA,NA
EXP3_Lung_Mouse 4.fcs,CD45_EXP3_Lung_Mouse 4.fcs,3,Lung,4,3_4,16,Hh,6,F,7.17E+07,NA,NA,NA,NA
EXP3_Lung_Mouse 5.fcs,CD45_EXP3_Lung_Mouse 5.fcs,3,Lung,5,3_5,17,Pam10ug,6,M,NA,NA,NA,NA,NA
EXP3_Lung_Mouse 6.fcs,CD45_EXP3_Lung_Mouse 6.fcs,3,Lung,6,3_6,18,Pam10ug,6,F,NA,NA,NA,NA,NA
EXP3_Nasal Tissue_Mouse 1.fcs,CD45_EXP3_Nasal Tissue_Mouse 1.fcs,3,Nasal Tissue,1,3_1,13,Saline,6,M,NA,NA,NA,NA,NA
EXP3_Nasal Tissue_Mouse 2.fcs,CD45_EXP3_Nasal Tissue_Mouse 2.fcs,3,Nasal Tissue,2,3_2,14,Saline,6,M,NA,NA,NA,NA,NA
EXP3_Nasal Tissue_Mouse 3.fcs,CD45_EXP3_Nasal Tissue_Mouse 3.fcs,3,Nasal Tissue,3,3_3,15,Hh,6,M,7.17E+07,NA,NA,NA,NA
EXP3_Nasal Tissue_Mouse 4.fcs,CD45_EXP3_Nasal Tissue_Mouse 4.fcs,3,Nasal Tissue,4,3_4,16,Hh,6,F,7.17E+07,NA,NA,NA,NA
EXP3_Nasal Tissue_Mouse 5.fcs,CD45_EXP3_Nasal Tissue_Mouse 5.fcs,3,Nasal Tissue,5,3_5,17,Pam10ug,6,M,NA,NA,NA,NA,NA
EXP3_Nasal Tissue_Mouse 6.fcs,CD45_EXP3_Nasal Tissue_Mouse 6.fcs,3,Nasal Tissue,6,3_6,18,Pam10ug,6,F,NA,NA,NA,NA,NA
