Treatment,Tissue,Timepoint,Cell_ID,mean,median,q1,q3,comparison
Hh+IAV+NTHi,Lung,96,pDCs,1.1546382833333333,1.00784085,0.9900664499999999,1.2152499,114.56553714143789
Hh+IAV+NTHi,Lung,144,B-cells,33.488189866666666,34.54077525,29.306407099999998,36.502961875000004,96.95262953504977
Hh+IAV+NTHi,Lung,144,CD103+CD4+ T-cells,1.5176521666666667,1.51787735,1.15808265,1.8755821,99.98516458965982
Hh+IAV+NTHi,Lung,144,CD206+ Macrophages,0.5283548166666666,0.5176616,0.44516334999999996,0.587117775,102.06567701113363
Hh+IAV+NTHi,Lung,144,CD4+ T-cells,17.218909066666665,16.8155606,16.25279665,17.880376425,102.39866202656759
Hh+IAV+NTHi,Lung,144,CD64+MHCII- Macrophages,0.31322336666666667,0.32289675,0.29998257500000003,0.37483494999999994,97.00418683887858
Hh+IAV+NTHi,Lung,144,Drop,6.888245666666667,6.986569849999999,6.238674925,7.372124775,98.59266871377044
Hh+IAV+NTHi,Lung,144,Ly6C(hi)CD64(hi) Monocytes,4.271652566666666,3.6409236999999997,2.9736070750000003,5.721648999999999,117.32332008678638
Hh+IAV+NTHi,Lung,144,Ly6C+ NK cells,4.3961355,4.49940215,3.778176925,4.5772383,97.70488063619742
Hh+IAV+NTHi,Lung,144,Ly6C+CD8+ T-cells,7.851751283333333,8.07458665,6.906860100000001,8.726689775,97.24028762925384
Hh+IAV+NTHi,Lung,144,Ly6C- NK cells,7.948501216666667,7.865825399999999,7.066920375,8.79426585,101.0510761739851
Hh+IAV+NTHi,Lung,144,Ly6C-CD8+ T-cells,2.50418915,2.47621975,1.8174410250000002,3.2205554000000003,101.12952010822143
Hh+IAV+NTHi,Lung,144,Monocytes,1.7405530666666669,1.82863105,1.3318972500000001,2.1023234,95.18339233420907
Hh+IAV+NTHi,Lung,144,Neutrophils,4.778425533333333,3.0051063000000005,2.10465975,5.026192425,159.01019984994647
Hh+IAV+NTHi,Lung,144,Unknown Myeloid,3.997082783333333,4.0056667500000005,3.599150725,4.3859183,99.78570442319827
Hh+IAV+NTHi,Lung,144,cDC1,0.521895,0.48774084999999995,0.42833885,0.6234799500000001,107.00251988325358
Hh+IAV+NTHi,Lung,144,cDC2,0.048031199999999996,0.044881149999999995,0.033582025,0.05799797500000001,107.0186481407005
Hh+IAV+NTHi,Lung,144,moDCs,0.8155442833333334,0.7035210999999999,0.638520175,0.97104115,115.92321585426984
Hh+IAV+NTHi,Lung,144,pDCs,1.1716634666666665,1.1914403,1.086408475,1.31889495,98.34009028120558
Hh+IAV+NTHi,Nasal Tissue,2,B-cells,59.369871583333335,61.8632732,60.333416799999995,62.279135475000004,95.96949613609085
Hh+IAV+NTHi,Nasal Tissue,2,CD103+CD4+ T-cells,0.57796375,0.50984585,0.42481607499999996,0.7413204000000001,113.3604892537617
Hh+IAV+NTHi,Nasal Tissue,2,CD206+ Macrophages,1.8214759666666667,1.61843435,1.402544475,2.2366571499999996,112.54555778964199
Hh+IAV+NTHi,Nasal Tissue,2,CD4+ T-cells,3.9172526666666667,2.6157517500000003,1.543035075,5.417596275,149.75628580451743
Hh+IAV+NTHi,Nasal Tissue,2,CD64+MHCII- Macrophages,0.3925046833333333,0.3269459,0.238923175,0.5403693749999999,120.0518750451782
Hh+IAV+NTHi,Nasal Tissue,2,Drop,5.9290595,6.10971915,5.675724925,6.443002624999999,97.04307766748984
Hh+IAV+NTHi,Nasal Tissue,2,Ly6C(hi)CD64(hi) Monocytes,3.7167058,3.5574459000000003,2.6623736,3.7849385499999997,104.47680455238968
Hh+IAV+NTHi,Nasal Tissue,2,Ly6C+ NK cells,0.63950305,0.6323229499999999,0.5811215249999999,0.7091341,101.13551152935378
Hh+IAV+NTHi,Nasal Tissue,2,Ly6C+CD8+ T-cells,0.804708,0.5754094,0.349550125,1.0160229250000001,139.8496444444599
Hh+IAV+NTHi,Nasal Tissue,2,Ly6C- NK cells,2.457245583333333,2.2527553,2.0673789,2.4828118999999997,109.07734112681182
Hh+IAV+NTHi,Nasal Tissue,2,Ly6C-CD8+ T-cells,0.6171388999999999,0.5812452499999999,0.30470505000000003,0.828043375,106.1753020777374
Hh+IAV+NTHi,Nasal Tissue,2,Monocytes,1.6560116666666667,1.4304036,1.3120487,1.948553875,115.77233632987686
Hh+IAV+NTHi,Nasal Tissue,2,Neutrophils,12.226928666666668,12.14865035,6.27171205,14.438782725000001,100.64433755529616
Hh+IAV+NTHi,Nasal Tissue,2,Unknown Myeloid,3.9094452333333334,3.7744729999999995,3.6229950749999995,4.2093431500000005,103.5759226078272
Hh+IAV+NTHi,Nasal Tissue,2,cDC1,0.12043150000000001,0.09453890000000001,0.07960395,0.16962069999999999,127.3883025929009
Hh+IAV+NTHi,Nasal Tissue,2,cDC2,0.10492665000000001,0.10552184999999999,0.091330375,0.124445,99.4359462045065
Hh+IAV+NTHi,Nasal Tissue,2,moDCs,0.03073167,0.0288956,0.019258675,0.044643,106.35415080496684
Hh+IAV+NTHi,Nasal Tissue,2,pDCs,1.7080952333333332,1.6223451,1.371973025,1.8873570999999998,105.28556675970688
Hh+IAV+NTHi,Nasal Tissue,6,B-cells,47.9495415,48.141053649999996,45.961039025,51.061506375,99.60218537925584
Hh+IAV+NTHi,Nasal Tissue,6,CD103+CD4+ T-cells,0.5094101833333333,0.39419680000000007,0.32885575,0.4858322500000001,129.22737661323816
Hh+IAV+NTHi,Nasal Tissue,6,CD206+ Macrophages,0.8856562333333333,0.7926357,0.69210965,1.0720087,111.73559724011083
Hh+IAV+NTHi,Nasal Tissue,6,CD4+ T-cells,1.5847038833333333,1.47816685,1.318358725,1.636900225,107.20737536045633
Hh+IAV+NTHi,Nasal Tissue,6,CD64+MHCII- Macrophages,0.25735825,0.2468086,0.164152925,0.32620425,104.27442560753558
Hh+IAV+NTHi,Nasal Tissue,6,Drop,4.69105035,4.63255695,4.02087605,4.9559785750000005,101.26265905916172
Hh+IAV+NTHi,Nasal Tissue,6,Ly6C(hi)CD64(hi) Monocytes,4.77418445,4.39658865,3.85359375,5.102993325000001,108.58838135789665
Hh+IAV+NTHi,Nasal Tissue,6,Ly6C+ NK cells,1.0952213166666667,0.9847857,0.8196789999999999,1.3065428000000001,111.21417752782831
Hh+IAV+NTHi,Nasal Tissue,6,Ly6C+CD8+ T-cells,0.5265851,0.4989437500000001,0.45937704999999995,0.626709775,105.53997319337098
Hh+IAV+NTHi,Nasal Tissue,6,Ly6C- NK cells,2.8479847166666667,2.62181385,2.2372565,3.189367975,108.62650361949481
Hh+IAV+NTHi,Nasal Tissue,6,Ly6C-CD8+ T-cells,0.3828099833333333,0.34057365,0.29502069999999997,0.3891452,112.40152705100155
Hh+IAV+NTHi,Nasal Tissue,6,Monocytes,1.9439823166666668,1.9038858499999998,1.7604030499999999,2.019863975,102.10603312518273
Hh+IAV+NTHi,Nasal Tissue,6,Neutrophils,27.352133566666666,29.265229799999997,22.156411775000002,30.965492875,93.46290377212985
Hh+IAV+NTHi,Nasal Tissue,6,Unknown Myeloid,3.5527387833333335,2.87848105,2.5688828249999998,4.212442475,123.4240810212502
Hh+IAV+NTHi,Nasal Tissue,6,cDC1,0.059266120000000005,0.05093469999999999,0.039556999999999995,0.0814493,116.35706109980035
Hh+IAV+NTHi,Nasal Tissue,6,cDC2,0.05746628333333333,0.048012,0.042225975,0.069163275,119.69150073592714
